station_name,station_latitude,station_longitude,station_no,station_id,itemDate,itemValue,itemValue2,accumRange,ts_id,oldtime,id
Lingerton,56.01244753,-5.422443562,133106,36148,2025-05-24 01:00:00,18.4,18.4,20,66053010,1,106
Little Assynt,58.17438109,-5.152302768,234264,37396,2025-05-24 01:00:00,6,6,10,66129010,1,99
Loch Ailsh Level,58.04827715,-4.855312073,354613,37838,2025-05-24 01:00:00,6.2,6.2,10,66196010,1,129
Loch Droma,57.73309629,-4.936434641,115368,35672,2025-05-24 02:00:00,4.6,4.6,5,66001010,1,117
Loch Katrine,56.22701614,-4.43624573,14910,459053,2025-05-24 04:00:00,10.6,10.6,20,66624010,1,247
Loch Restil,56.23604254,-4.853369348,485489,38102,2025-05-24 01:00:00,12.8,12.8,20,66172010,1,240
Loch Tormasad,57.56195723,-7.316740973,354622,37850,2025-05-24 04:00:00,19.8,19.8,20,66198010,1,45
Loch Venachar,56.23425763,-4.25686637,14898,477389,2025-05-26 09:00:00,31,31,40,66560010,0,215
Lochindorb North,57.41478835,-3.691385645,336847,37772,2025-05-24 01:00:00,8.6,8.6,10,66186010,1,54
Lochwinnoch,55.78853152,-4.618943233,509677,38240,2025-05-24 04:00:00,17.6,17.6,20,66242010,1,208
Lossiemouth,57.71918475,-3.323337879,473167,38078,2025-05-24 01:00:00,4.6,4.6,5,66171010,1,1
Low Creoch,54.90352684,-4.18922643,115611,35868,2025-05-24 03:00:00,0,0,0,66062010,1,131
Lower Black Laggan,55.07053305,-4.398510409,115612,35872,2025-05-24 02:00:00,10.8,10.8,20,66034010,1,230
Luffness,56.02022484,-2.821888561,14865,36390,2025-05-24 04:00:00,6.6,6.6,10,66056010,1,187
Luib,57.5445048,-5.123945869,115376,35692,2025-05-24 02:00:00,9.8,9.8,10,66002010,1,67
Lukeston,55.98447497,-4.240765022,327237,37636,2025-05-26 09:00:00,29,29,30,66150010,0,132
Luss Raingauge,56.09892116,-4.638863963,129558,36004,2025-05-24 02:00:00,8.8,8.8,10,66050010,1,220
Lyne Station,55.64733183,-3.25808918,14974,36764,2025-05-24 01:00:00,4,4,5,66084010,1,83
Meadowfoot,55.40534471,-3.799886702,115616,35876,2025-05-24 02:00:00,7,7,10,66035010,1,162
Merton Bank Lochmaben,55.13494009,-3.439865821,115617,35880,2025-05-24 02:00:00,7.4,7.4,10,66036010,1,109
Mill Croft,57.2886568,-7.368331541,354623,37856,2025-05-24 01:00:00,13.6,13.6,20,66199010,1,2
Mill Of Gavel,57.55561687,-2.009109628,205209,37120,2025-05-25 17:00:00,0.2,0.2,1,66116010,0,79
Millport,55.74955539,-4.907441406,115618,35884,2025-05-24 02:00:00,8.8,8.8,10,66037010,1,55
Milton of Evelix TBR,57.89128749,-4.084164503,494729,38162,2025-05-24 01:00:00,7.6,7.6,10,66233010,1,176
Minnigaff,54.9588823,-4.471659058,338429,37792,2025-05-24 01:00:00,12.4,12.4,20,66189010,1,229
Moar,56.57276553,-4.388958153,14949,36664,2025-05-24 04:00:00,8.6,8.6,10,66078010,1,85
Mongour,57.00199506,-2.388582046,115235,35564,2025-05-24 03:00:00,4,4,5,65980010,1,226
Montrose,56.69908575,-2.491155025,15078,36928,2025-05-24 01:00:00,4.2,4.2,5,66092010,1,246
Mouthbridge,55.77012815,-2.279193263,15022,36874,2025-05-24 01:00:00,4.8,4.8,5,66089010,1,48
Muirkirk STW,55.51335703,-4.096604222,115622,35892,2025-05-24 02:00:00,0,0,0,66038010,1,10
Muirshiel RG,55.84918458,-4.742664896,490986,38130,2025-05-26 09:00:00,30.6,30.6,40,66229010,0,265
Murray Burn,55.91287677,-3.317681386,372859,37992,2025-05-24 01:00:00,6,6,10,66214010,1,76
Murton,56.65077608,-2.823539396,335650,37700,2025-05-24 01:00:00,4.6,4.6,5,66177010,1,267
Mylnefield,56.46017678,-3.075838089,335651,37706,2025-05-24 01:00:00,5.2,5.2,10,66178010,1,256
Nairn Dunbar Golf Course,57.59406094,-3.842759406,341224,37796,2025-05-24 04:00:00,6.8,6.8,10,66190010,1,163
New Kelso,57.42953514,-5.429999168,234289,37438,2025-05-24 01:00:00,16.2,16.2,20,66130010,1,216
Newton of Falkland,56.25431474,-3.186268594,15083,36936,2025-05-24 04:00:00,5.4,5.4,10,66093010,1,4
Newtonairds,55.10134134,-3.742902191,115627,35896,2025-05-24 04:00:00,8,8,10,66039010,1,272
